student_id,name,branch,year,admission_year,age,avg_attendance_overall,last_4_week_attendance,current_sgpa,cgpa,backlog_prev,backlog_curr,fee_status,lms_logins_30d,dropout_label
S0001,Aryan Maharaj,Information Technology,1,2025,18,77.36,74.99,6.86,6.9,0,0,paid,5,0
S0002,Liam Chaudry,Information Technology,1,2021,22,87.75,87.24,7.37,7.33,0,0,paid,11,0
S0003,Pahal Balay,Electrical Engineering,2,2020,17,62.85,55.98,6.08,6.68,0,0,paid,7,0
S0004,Tejas Kaul,Production and Industrial Engineering,4,2021,21,77.51,80.25,8.2,8.01,0,0,paid,6,0
S0005,Rushil Saini,Electronics and Communication Engineering,4,2020,18,58.01,43.38,6.09,6.97,0,0,paid,10,0
S0006,Arunima Ahuja,Information Technology,1,2022,23,91.01,94.46,7.56,7.5,0,0,paid,7,0
S0007,Pahal Oak,Mathematics and Computing,3,2022,19,71.09,80.78,5.42,5.78,0,0,paid,8,0
S0008,Tanveer Nayar,Information Technology,4,2024,17,60.75,51.57,5.89,5.22,0,0,paid,1,0
S0009,Lajita Chatterjee,Mathematics and Computing,3,2025,19,74.49,86.11,7.86,7.89,1,1,paid,14,0
S0010,Aishani Bassi,Electrical Engineering,3,2020,22,87.03,100.0,8.22,7.62,0,0,overdue,11,0
S0011,Jeet Radhakrishnan,Chemical Engineering,3,2020,17,88.17,96.43,8.41,8.06,2,2,overdue,5,0
S0012,Janaki Handa,Civil Engineering,3,2021,22,77.94,80.23,8.92,8.13,0,0,paid,4,0
S0013,Chakradev Kari,Information Technology,2,2025,23,53.69,34.35,6.95,7.02,2,2,paid,3,0
S0014,Fariq Kaul,Chemical Engineering,3,2023,23,77.71,79.42,5.03,5.2,2,2,paid,2,0
S0015,Lajita Mall,Electrical Engineering,3,2024,20,85.1,92.01,5.21,6.25,1,1,overdue,5,0
S0016,Nicholas Prabhakar,Computer Science Engineering,3,2021,19,86.02,100.0,8.43,8.21,0,0,paid,14,0
S0017,Amara Bora,Civil Engineering,2,2024,21,46.1,30.41,5.55,5.65,0,0,paid,6,0
S0018,Yash Gade,Biotechnology,2,2025,20,51.14,34.47,6.93,6.98,0,0,paid,12,0
S0019,Anamika Kanda,Production and Industrial Engineering,3,2024,22,78.93,78.69,7.24,7.18,1,1,paid,12,0
S0020,Daksh Karnik,Chemical Engineering,3,2024,23,66.91,64.76,8.26,7.92,2,2,overdue,5,0
S0021,Diya Rattan,Biotechnology,1,2024,19,99.44,100.0,6.23,6.13,1,1,overdue,5,0
S0022,Siddharth Murty,Electronics and Communication Engineering,4,2021,18,64.49,54.36,6.22,6.28,0,0,paid,7,0
S0023,Meghana Shanker,Biotechnology,3,2024,18,87.66,92.52,7.13,7.17,0,0,overdue,16,0
S0024,Liam Koshy,Information Technology,3,2020,22,72.82,60.43,6.74,6.91,1,1,paid,6,0
S0025,Priya Rastogi,Chemical Engineering,2,2022,19,58.69,38.49,8.12,8.06,1,1,overdue,1,0
S0026,Lakshit Upadhyay,Mechanical Engineering,2,2025,20,86.01,96.96,7.69,7.64,0,0,paid,0,0
S0027,Champak Choudhary,Mechanical Engineering,2,2025,18,88.67,99.95,8.23,7.66,1,1,overdue,13,0
S0028,Pahal Bhatt,Production and Industrial Engineering,1,2024,20,58.19,48.08,7.68,7.55,1,1,paid,5,0
S0029,Upadhriti Wadhwa,Civil Engineering,3,2020,19,97.44,100.0,6.79,6.34,1,1,paid,10,0
S0030,Ishwar Yadav,Information Technology,1,2024,23,70.06,64.43,6.49,6.6,0,0,overdue,7,0
S0031,Harini Choudhury,Electronics and Communication Engineering,2,2024,19,85.55,99.46,6.09,6.06,0,0,overdue,8,0
S0032,Nakul Setty,Mechanical Engineering,4,2021,17,78.28,87.69,5.41,6.04,0,0,overdue,5,0
S0033,Xiti Gokhale,Electrical Engineering,3,2025,21,90.03,95.58,6.58,6.68,0,0,paid,8,0
S0034,Chanchal Tripathi,Biotechnology,4,2022,21,97.59,100.0,6.2,5.52,0,0,paid,9,0
S0035,Michael Prakash,Computer Science Engineering,2,2022,23,58.21,58.46,7.14,6.95,1,1,paid,0,0
S0036,Aadi Naik,Computer Science Engineering,2,2025,20,88.03,75.82,5.04,5.21,0,0,paid,13,0
S0037,Isaac Patil,Information Technology,2,2022,23,85.18,95.76,7.92,6.98,0,0,paid,3,0
S0038,Wriddhish Bhardwaj,Electronics and Communication Engineering,4,2024,18,80.1,98.55,5.87,5.71,0,0,paid,7,0
S0039,Frederick Sunder,Electrical Engineering,1,2023,23,69.88,65.52,4.85,4.81,0,0,paid,12,1
S0040,Jeremiah Dave,Computer Science Engineering,1,2023,22,67.85,48.07,4.63,4.64,0,0,overdue,8,1
S0041,Noah Lanka,Electrical Engineering,2,2020,21,60.43,65.25,7.97,8.13,0,0,paid,10,0
S0042,Siddharth Zacharia,Electronics and Communication Engineering,3,2023,23,65.6,55.0,5.87,6.36,2,2,overdue,8,0
S0043,Devika Rastogi,Biotechnology,1,2020,22,94.4,100.0,4.46,4.46,0,0,overdue,8,1
S0044,Raksha Varughese,Electrical Engineering,2,2020,20,46.78,27.64,5.42,5.82,0,0,paid,7,0
S0045,Yug Kar,Computer Science Engineering,2,2023,17,92.33,100.0,8.48,8.52,0,0,overdue,10,0
S0046,Ansh Karpe,Biotechnology,3,2022,21,81.1,77.58,7.82,7.32,0,0,overdue,8,0
S0047,Abhimanyu Bobal,Biotechnology,2,2024,22,70.31,67.17,7.66,7.71,0,0,paid,9,0
S0048,Veer Bir,Mathematics and Computing,1,2020,17,74.5,63.67,5.07,5.23,0,0,paid,13,0
S0049,Ekavir Varkey,Biotechnology,2,2024,18,80.59,96.13,3.82,3.75,0,0,overdue,8,1
S0050,Vedika Kala,Mathematics and Computing,1,2020,21,95.54,100.0,7.99,8.04,0,0,paid,6,0
S0051,Urvashi Kibe,Mathematics and Computing,2,2020,23,84.68,76.73,7.36,7.45,0,0,paid,3,0
S0052,Niharika Gupta,Chemical Engineering,3,2020,17,62.67,42.42,9.81,9.24,1,1,paid,7,0
S0053,Raagini Pandya,Civil Engineering,2,2025,20,60.47,53.4,7.87,7.71,0,0,paid,9,0
S0054,Unni Bhagat,Mechanical Engineering,4,2025,22,59.27,54.25,6.65,6.9,0,0,overdue,5,0
S0055,Darsh Rau,Computer Science Engineering,4,2020,22,83.83,96.09,7.54,7.04,0,0,paid,9,0
S0056,Ikbal Kothari,Information Technology,2,2020,18,82.63,90.53,7.81,7.79,0,0,paid,6,0
S0057,Saumya Dey,Information Technology,2,2022,20,71.26,80.44,7.8,8.2,0,0,paid,14,0
S0058,Arya Shere,Mechanical Engineering,1,2024,18,82.11,79.79,7.56,7.44,1,1,paid,4,0
S0059,Saanvi Chaudhari,Information Technology,2,2025,17,56.87,57.99,8.55,8.29,0,0,overdue,14,0
S0060,Girik Khalsa,Production and Industrial Engineering,2,2025,18,78.43,87.71,8.45,7.94,1,1,paid,13,0
S0061,Vedika Srivastava,Civil Engineering,2,2025,18,46.36,38.07,8.21,8.33,1,1,overdue,3,0
S0062,Daniel Gala,Biotechnology,3,2024,20,44.23,20.36,8.17,7.73,0,0,overdue,11,0
S0063,Madhavi Lanka,Chemical Engineering,3,2020,23,70.65,76.45,3.6,3.9,1,2,paid,10,1
S0064,Bhavika Sampath,Electronics and Communication Engineering,4,2022,22,89.06,95.09,8.24,7.89,0,0,paid,12,0
S0065,Mohammed Gupta,Information Technology,1,2020,19,65.18,64.27,7.11,6.96,0,0,paid,10,0
S0066,Dalbir Bhat,Production and Industrial Engineering,1,2021,22,64.03,60.43,6.43,6.56,0,0,paid,12,0
S0067,Dakshesh Bedi,Chemical Engineering,2,2021,21,69.69,69.07,4.57,4.61,0,1,overdue,7,1
S0068,Yadavi Wali,Civil Engineering,2,2020,18,69.44,68.72,5.71,6.12,1,1,paid,10,0
S0069,Yashoda Buch,Production and Industrial Engineering,4,2022,23,67.39,67.65,8.17,7.8,1,1,paid,8,0
S0070,Ekapad Bir,Electronics and Communication Engineering,2,2021,22,74.43,75.91,6.02,6.0,0,0,paid,7,0
S0071,Netra Dar,Civil Engineering,4,2025,21,60.96,57.94,6.34,6.5,0,0,overdue,10,0
S0072,Balveer Bumb,Mechanical Engineering,2,2021,20,48.9,36.04,8.56,8.27,0,0,paid,11,0
S0073,Advika Jayaraman,Biotechnology,2,2020,22,70.49,50.17,6.24,6.37,0,0,overdue,9,0
S0074,William Lanka,Mechanical Engineering,2,2022,20,92.52,100.0,5.89,6.13,0,0,paid,13,0
S0075,Charita Shankar,Civil Engineering,3,2023,19,73.65,78.46,7.36,6.9,0,0,overdue,7,0
S0076,Aditya Shanker,Civil Engineering,4,2022,21,66.09,50.45,6.96,6.72,0,0,overdue,8,0
S0077,Ethan Yogi,Computer Science Engineering,1,2022,18,50.1,36.5,6.35,6.5,1,1,paid,2,0
S0078,Kevin Palla,Mechanical Engineering,1,2024,17,91.37,100.0,7.71,7.86,2,2,paid,1,0
S0079,Kala Mane,Civil Engineering,4,2025,18,85.67,90.14,4.92,5.87,0,0,paid,5,0
S0080,Chasmum Wadhwa,Electrical Engineering,3,2024,17,89.13,100.0,6.53,5.49,0,0,paid,8,0
S0081,Hemang Desai,Production and Industrial Engineering,2,2024,19,80.94,88.5,10.0,9.55,0,0,paid,3,0
S0082,Hredhaan Dugal,Civil Engineering,3,2025,19,71.56,82.84,6.73,6.96,0,0,paid,5,0
S0083,Shivansh Oza,Production and Industrial Engineering,3,2022,18,96.76,100.0,6.14,6.61,0,0,paid,12,0
S0084,Yashasvi Suresh,Mechanical Engineering,2,2025,19,81.23,83.67,7.55,7.65,0,0,paid,5,0
S0085,George Sampath,Electronics and Communication Engineering,3,2023,23,96.25,100.0,7.77,7.56,0,0,overdue,7,0
S0086,Chaitanya Aggarwal,Mechanical Engineering,2,2022,19,48.21,33.8,7.21,7.58,0,0,paid,10,0
S0087,Adweta Edwin,Civil Engineering,4,2025,22,88.55,96.67,6.2,6.14,1,1,paid,9,0
S0088,Prisha Andra,Biotechnology,2,2024,17,98.56,100.0,8.92,8.71,0,0,paid,6,0
S0089,Manthan Banik,Mathematics and Computing,3,2025,23,69.5,70.77,5.2,5.1,0,0,overdue,11,0
S0090,Manbir Sani,Mechanical Engineering,2,2021,18,70.91,71.1,6.49,6.49,0,0,paid,5,0
S0091,Darika Patla,Electrical Engineering,4,2020,23,76.96,78.82,7.22,7.0,1,1,overdue,6,0
S0092,Ishita Kade,Chemical Engineering,2,2023,22,76.72,71.33,6.77,6.79,0,0,paid,12,0
S0093,Harshil Pandya,Electrical Engineering,2,2023,23,88.16,90.02,4.16,4.56,0,1,overdue,12,1
S0094,Mohammed Khalsa,Chemical Engineering,2,2020,23,62.96,57.63,6.8,6.58,0,0,overdue,8,0
S0095,Peter Sachar,Biotechnology,1,2024,17,92.54,100.0,7.69,7.81,0,0,overdue,3,0
S0096,Gaurangi Sabharwal,Biotechnology,2,2020,23,77.29,76.42,6.22,6.42,0,0,paid,0,0
S0097,Amara Dutta,Mathematics and Computing,3,2024,23,86.85,100.0,6.12,6.15,0,0,overdue,8,0
S0098,Lavanya Barad,Production and Industrial Engineering,4,2024,23,48.9,30.27,6.31,6.92,0,0,paid,6,0
S0099,Tristan Iyengar,Biotechnology,4,2021,23,81.43,87.08,6.83,6.58,0,0,paid,9,0
S0100,Inaya Mody,Mechanical Engineering,4,2025,23,91.79,99.03,5.37,5.52,0,0,paid,6,0
S0101,Udant Bajwa,Mechanical Engineering,2,2020,22,72.09,78.11,6.06,5.75,0,0,paid,9,0
S0102,Mohini Narasimhan,Information Technology,2,2024,19,48.56,24.52,6.88,6.48,0,0,paid,10,0
S0103,Arya Panchal,Electrical Engineering,1,2021,22,58.84,52.26,6.75,6.44,0,0,paid,10,0
S0104,Garima Bala,Chemical Engineering,1,2023,17,95.73,100.0,8.25,8.39,0,0,paid,15,0
S0105,Pranav Lanka,Computer Science Engineering,4,2024,17,78.03,87.68,9.65,8.47,0,0,overdue,8,0
S0106,Radha Pai,Chemical Engineering,4,2022,22,92.05,100.0,7.34,7.07,0,0,paid,5,0
S0107,Rajata Vaidya,Electrical Engineering,4,2024,17,61.37,37.97,7.42,8.18,0,0,paid,10,0
S0108,Ranveer Kumar,Chemical Engineering,3,2020,17,87.08,100.0,7.11,6.43,0,0,overdue,9,0
S0109,Aarav Venkatesh,Electronics and Communication Engineering,4,2025,23,45.52,18.35,6.66,7.13,0,0,overdue,7,0
S0110,Januja Sankar,Computer Science Engineering,4,2024,17,72.67,66.38,8.85,8.09,1,1,paid,5,0
S0111,Dipta Dash,Chemical Engineering,2,2020,22,53.66,34.7,6.52,6.45,0,0,paid,7,0
S0112,Yashica More,Chemical Engineering,3,2022,22,41.49,14.64,6.63,6.24,0,0,paid,7,0
S0113,Eta Rau,Mechanical Engineering,4,2023,22,82.71,91.33,8.48,8.06,0,0,paid,4,0
S0114,Joshua Handa,Production and Industrial Engineering,1,2020,20,84.53,79.31,7.13,7.34,0,0,paid,7,0
S0115,Owen Mitra,Information Technology,1,2025,20,72.26,57.85,8.35,8.32,0,0,overdue,4,0
S0116,Daksha Mangat,Computer Science Engineering,2,2021,18,58.59,49.11,6.6,6.74,1,1,paid,4,0
S0117,Ekanta Shroff,Mathematics and Computing,2,2020,20,55.18,47.8,7.25,7.4,1,1,paid,7,0
S0118,Tanay Vaidya,Electronics and Communication Engineering,1,2022,20,72.18,66.44,6.71,6.6,1,1,paid,2,0
S0119,Frado Mander,Information Technology,1,2022,21,79.94,87.31,7.76,7.72,0,0,paid,9,0
S0120,Girik Keer,Chemical Engineering,2,2023,22,76.22,76.37,4.89,4.61,0,0,paid,6,1
S0121,Umang Issac,Mechanical Engineering,1,2020,18,91.2,99.49,7.99,8.01,0,0,paid,7,0
S0122,Chakradhar Konda,Civil Engineering,4,2020,20,62.39,54.66,5.04,5.54,0,0,paid,3,0
S0123,Tamanna Sachdeva,Civil Engineering,1,2025,22,70.4,63.4,6.89,7.02,0,0,overdue,8,0
S0124,Leena Talwar,Chemical Engineering,3,2020,20,58.99,53.63,8.12,8.11,0,0,overdue,3,0
S0125,Manbir Ahluwalia,Electronics and Communication Engineering,4,2025,23,97.51,100.0,9.23,8.07,1,1,paid,11,0
S0126,Pavani Kanda,Mechanical Engineering,4,2025,18,55.18,41.62,6.84,7.07,0,0,overdue,5,0
S0127,Chandresh Krish,Mechanical Engineering,3,2024,23,55.1,45.5,6.67,6.66,0,0,overdue,10,0
S0128,Tanmayi Deol,Mechanical Engineering,4,2020,23,76.07,72.93,7.73,7.88,0,0,paid,3,0
S0129,Edhitha Savant,Chemical Engineering,3,2024,21,91.69,100.0,4.7,4.85,0,0,paid,0,1
S0130,Sanaya Dutt,Civil Engineering,3,2021,22,60.91,56.18,8.39,7.81,0,0,overdue,7,0
S0131,Shivani Lad,Mechanical Engineering,1,2025,23,84.09,85.56,7.17,7.14,0,0,paid,8,0
S0132,Aradhana Verma,Chemical Engineering,4,2021,20,60.7,49.07,5.51,6.15,0,0,paid,8,0
S0133,Anvi Sarraf,Biotechnology,4,2023,17,48.77,32.41,9.39,8.83,0,0,paid,11,0
S0134,Wahab Magar,Chemical Engineering,2,2021,19,83.58,90.0,7.2,7.24,0,0,paid,7,0
S0135,Faris Devi,Production and Industrial Engineering,3,2023,18,90.63,100.0,7.23,7.01,1,1,paid,1,0
S0136,Leela Dua,Civil Engineering,4,2022,22,70.64,66.23,7.85,8.31,0,0,paid,5,0
S0137,Devansh Sachdeva,Electrical Engineering,3,2020,20,43.71,28.89,7.34,6.87,1,1,paid,9,0
S0138,Unnati Sagar,Electronics and Communication Engineering,2,2025,17,38.52,27.41,7.95,7.55,0,0,paid,1,0
S0139,Osha Ramachandran,Mathematics and Computing,3,2025,23,60.18,49.31,8.63,8.13,1,1,overdue,12,0
S0140,Lajita Sood,Electrical Engineering,3,2022,17,95.17,99.7,7.5,7.52,0,0,paid,0,0
S0141,Chanchal Ramakrishnan,Electronics and Communication Engineering,3,2024,23,70.22,72.4,5.18,4.98,1,1,paid,12,1
S0142,Thomas Sura,Electronics and Communication Engineering,4,2022,18,90.07,91.99,7.09,6.7,0,0,paid,0,0
S0143,Rajata Sunder,Biotechnology,4,2022,17,90.68,97.55,6.01,7.04,0,0,paid,11,0
S0144,Gayathri Ravel,Mechanical Engineering,4,2020,22,81.47,80.91,6.98,7.17,1,1,paid,3,0
S0145,Unni Datta,Information Technology,1,2023,21,45.58,29.96,7.94,7.78,0,0,overdue,11,0
S0146,Meera Bala,Information Technology,2,2022,17,89.67,100.0,7.2,6.96,0,0,overdue,2,0
S0147,Krishna Shenoy,Mathematics and Computing,2,2024,18,79.1,87.96,6.96,7.04,0,0,paid,4,0
S0148,Abha Raghavan,Mechanical Engineering,4,2023,19,94.76,100.0,7.07,6.96,0,0,paid,5,0
S0149,Suhani Narain,Information Technology,2,2024,19,75.59,89.02,8.19,7.71,1,1,paid,8,0
S0150,Arunima Sama,Electronics and Communication Engineering,2,2020,19,90.92,96.23,6.5,6.49,0,0,paid,5,0
S0151,Upma Bahl,Chemical Engineering,4,2020,22,94.0,100.0,8.32,7.75,0,0,paid,10,0
S0152,Inaya Kapur,Electrical Engineering,3,2020,22,88.85,98.74,7.22,7.4,0,0,paid,8,0
